# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = 2 (Default)
# random
#   seed = 2996315998 (Default)
# output
#   file = ./ex_toy01/output.txt
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.723008
# Diagonal elements of inverse mass matrix:
# 0.00279455, 0.0110958
24.4744,0.918408,0.723008,2,3,0,-21.7392,-1.01785,0.387628
24.3238,0.987294,0.723008,3,7,0,-24.1017,-0.973421,0.396017
24.3022,0.887809,0.723008,2,3,0,-22.4081,-1.04285,0.356343
24.7017,0.911542,0.723008,2,3,0,-23.3329,-0.989069,0.352983
24.5107,0.971357,0.723008,2,7,0,-24.3261,-1.01923,0.345503
23.9393,0.952038,0.723008,3,7,0,-23.7434,-1.01516,0.413357
24.6618,0.998679,0.723008,3,7,0,-23.9827,-1.01795,0.365046
24.5662,0.969409,0.723008,2,3,0,-24.2907,-1.01333,0.383203
22.6789,0.886044,0.723008,3,7,0,-22.5902,-1.08852,0.340169
23.4464,1,0.723008,3,7,0,-21.8267,-0.913898,0.359727
24.4904,0.986674,0.723008,2,3,0,-23.2145,-0.97548,0.342846
23.8479,0.904318,0.723008,3,7,0,-23.2402,-1.05917,0.390836
21.1715,0.693437,0.723008,2,3,0,-19.485,-1.06651,0.475448
21.5568,1,0.723008,2,3,0,-21.0053,-1.05359,0.470588
20.4473,0.92362,0.723008,1,1,0,-20.4243,-1.06432,0.493119
22.0853,0.999768,0.723008,3,7,0,-20.1965,-0.97224,0.294721
24.7456,1,0.723008,2,3,0,-22.3981,-0.991266,0.360303
24.4282,0.91606,0.723008,1,3,0,-23.9349,-1.03452,0.376734
22.1742,0.754996,0.723008,2,3,0,-21.6006,-0.90093,0.43331
22.1474,0.975174,0.723008,3,7,0,-20.7777,-1.08563,0.324203
24.1583,0.973357,0.723008,2,3,0,-21.4086,-0.98681,0.327431
24.2483,0.999206,0.723008,3,7,0,-23.9749,-0.979781,0.401499
24.0238,0.960086,0.723008,3,7,0,-23.2655,-1.0562,0.38059
24.0934,0.998904,0.723008,3,7,0,-23.9148,-1.05103,0.383978
23.6713,0.972419,0.723008,3,7,0,-23.2603,-1.00793,0.423682
23.5775,0.816899,0.723008,2,7,0,-19.7052,-1.0582,0.336016
24.6676,1,0.723008,2,3,0,-23.5721,-1.00326,0.349633
24.1943,0.9286,0.723008,2,3,0,-23.904,-0.965443,0.334774
24.475,0.994099,0.723008,3,7,0,-23.9467,-0.957575,0.366445
22.8474,0.806166,0.723008,2,3,0,-22.3653,-0.947086,0.31173
23.0116,1,0.723008,1,1,0,-22.5694,-0.942492,0.316669
23.0116,0.832509,0.723008,1,1,0,-22.2151,-0.942492,0.316669
24.4147,0.980498,0.723008,2,3,0,-22.3609,-0.95361,0.367325
23.756,0.924129,0.723008,2,3,0,-23.4437,-0.927734,0.351558
24.0704,0.99989,0.723008,3,7,0,-22.9348,-1.04306,0.39497
24.1783,1,0.723008,1,1,0,-24.0375,-1.04327,0.387895
24.6421,0.904637,0.723008,1,3,0,-22.7565,-0.975926,0.354397
23.0222,0.854363,0.723008,2,3,0,-22.8893,-1.03004,0.309383
21.782,0.776052,0.723008,1,1,0,-21.5898,-1.01791,0.291155
