# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = ./ex_toy01/init.json
# random
#   seed = 2996367183 (Default)
# output
#   file = ./ex_toy01/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.048678
# Diagonal elements of inverse mass matrix:
# 1, 1
24.2833,0.987978,0.048678,2,5,0,-23.4054,-0.988515,0.331034
24.2833,0.677743,0.048678,1,3,0,-21.8597,-0.988515,0.331034
24.3882,0.996142,0.048678,2,3,0,-24.2084,-0.976428,0.337588
24.1355,0.937633,0.048678,2,7,0,-22.7501,-0.970348,0.403796
20.9606,0.454569,0.048678,2,3,0,-17.0858,-0.875975,0.451025
23.0333,0.959096,0.048678,3,7,0,-20.4835,-0.921324,0.419222
20.9894,0.782912,0.048678,2,7,0,-20.3113,-1.14248,0.392556
24.0369,0.825204,0.048678,2,3,0,-18.6309,-1.04897,0.345557
24.4523,0.96823,0.048678,2,5,0,-23.2428,-1.02083,0.387553
24.1916,0.974958,0.048678,2,3,0,-24.1165,-1.0465,0.38239
23.3787,0.971919,0.048678,3,7,0,-21.989,-1.04113,0.31987
24.3629,0.974219,0.048678,2,3,0,-23.0431,-0.961364,0.344932
24.5393,0.993824,0.048678,2,3,0,-24.2631,-1.02959,0.363066
24.3699,0.894922,0.048678,1,3,0,-23.6591,-0.951636,0.360047
22.9935,0.967026,0.048678,2,7,0,-22.5051,-1.02908,0.308659
23.7416,1,0.048678,2,3,0,-22.5486,-1.03935,0.327485
24.6281,0.957898,0.048678,2,7,0,-23.1443,-1.02168,0.362913
24.3883,0.899907,0.048678,1,3,0,-23.8691,-0.952934,0.359325
24.7506,0.99623,0.048678,1,3,0,-24.3783,-0.993018,0.361618
24.0832,0.959878,0.048678,2,3,0,-23.874,-0.979892,0.326479
22.737,0.919659,0.048678,2,3,0,-22.3616,-0.96094,0.305346
21.6525,0.782196,0.048678,1,1,0,-21.587,-0.940369,0.298007
22.9309,0.580885,0.048678,2,3,0,-17.9994,-1.0956,0.371305
23.6544,0.972279,0.048678,2,7,0,-22.0536,-0.953489,0.324828
23.8371,0.953359,0.048678,3,7,0,-22.2076,-0.927815,0.381914
22.9918,0.984032,0.048678,2,7,0,-22.8777,-1.06003,0.322235
23.7907,1,0.048678,2,7,0,-22.8648,-0.928129,0.38737
24.0007,1,0.048678,2,3,0,-23.7298,-0.935596,0.382762
24.4817,0.935809,0.048678,2,5,0,-23.2263,-0.967319,0.347488
23.6232,0.961782,0.048678,3,7,0,-23.2742,-0.984778,0.425297
23.2456,0.927727,0.048678,3,7,0,-20.0689,-0.994897,0.437103
21.7477,0.922267,0.048678,2,3,0,-21.6587,-0.910938,0.453699
